id,time,repetition,raw_shape_0,raw_shape_1,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,peaks_5,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
4pm_5,4pm,5,2752,4896,581,1474,2254,3039,3948,4896,1125,1245,1214,1171,1277,253.338112948072,191.96047564248252,190.0343910030921,166.6215414838851,163.24247820649518,-0.032294844317176045,0.006145456037789255,0.011285329358340042,0.02082111693143748,0.02772413999971304
12pm_1,12pm,1,2752,4896,770,1560,2420,2935,3742,4393,745,718,716,864,732,221.1965619619315,224.4342270139027,247.0788350918508,214.6915791765838,199.45849757881265,-0.018555733553099075,-0.028559927313703545,-0.05372497491068276,-0.011923305591060208,0.0016348001464079956
12pm_2,12pm,2,2752,4896,811,1457,2193,2766,3577,4321,1151,1129,1147,914,905,220.06720054869155,191.46460765580767,212.65923836454428,189.29320397711876,192.5077729638089,-0.01535693778687604,0.006334676197757048,-0.011775597368371207,0.0030527247027444526,0.003911227613175572
12pm_3,12pm,3,2752,4896,654,1469,2273,3076,3890,4896,1111,1185,1268,1403,1359,212.44990114632603,214.96481798656797,232.52591878016523,221.49891879201664,217.39215075966294,-0.011402471872751096,-0.013178766074030634,-0.024385377950375594,-0.030648789055048132,-0.014618797813336512
12pm_4,12pm,4,2752,4896,721,1530,2257,2945,3874,4896,1011,1127,1022,1097,1113,275.6614103379476,229.4718163555447,195.60294455375552,152.918232710012,188.82820405036833,-0.043672123298318634,-0.022881163032686055,0.0015726058930927087,0.04218732006909345,0.0021273062191220576
12pm_5,12pm,5,2752,4896,713,1558,2353,3127,3869,4896,943,977,1052,1005,1123,265.8201559138245,234.79642166681003,223.8712218705938,235.1049581976729,171.89493774042015,-0.040636445559656266,-0.03862575268834325,-0.027944897374505763,-0.02660988153190126,0.026304811577025803
12pm_6,12pm,6,2752,4896,667,1507,2390,3181,3993,4896,1086,1166,1247,1243,1199,185.65282770622528,195.69904221703231,264.2428862840044,239.89215706438424,190.2819241762342,0.016036299106212168,0.004725783148448431,-0.04602729637791933,-0.027852895839210152,0.013682422237364628
4pm_1,4pm,1,2752,4896,839,1481,2263,3033,3833,4462,885,969,1053,1233,656,175.35471906126148,95.44098288076654,170.85514614333778,198.5850897082217,194.55533230767568,0.02682865110244646,0.0515688314663963,0.03453106441515599,-0.0013538252131007518,-0.0006589173218221657
4pm_2,4pm,2,2752,4896,970,1578,2275,3071,3725,4444,550,813,748,547,724,239.21640718398461,132.28443196333964,190.4605124697447,225.52219403986797,187.42397967047975,-0.031144862033976692,0.03962774906845402,0.007648894428686616,-0.02411542062534328,0.017881721292326843
4pm_3,4pm,3,2752,4896,739,1403,2182,3028,3719,4676,955,1020,978,750,1030,236.75245327432538,213.0718051898825,224.6539325247507,206.8608705565904,197.56780048407123,-0.031031876998869373,-0.011597788189624385,-0.013318170172245517,-0.006152835647919224,0.0037941803198250266
4pm_4,4pm,4,2752,4896,552,1296,2208,3014,3879,4896,1103,1306,1373,1474,1247,215.54221224456154,173.93445083695886,174.76541657746407,183.68562177897456,169.41711784060698,-0.013978103738383579,0.021378825778095786,0.016765222548298125,0.024898758152887345,0.03913205124013292
4pm_6,4pm,6,2752,4896,819,1507,2259,3144,3793,4896,1195,1324,1209,1186,1232,232.7394211127045,176.554736487887,178.45733296549798,212.99670764625614,173.71502344525035,-0.02900898397649917,0.022354102370437518,0.017408485458326146,-0.00839402549971378,0.02466939428724129
4pm_7,4pm,7,2752,4896,617,1307,2081,2945,3787,4513,903,992,995,1194,1395,240.44293575920386,212.19661163938358,185.91765052700524,177.13722299212193,186.1657487835071,-0.032703818349414965,-0.005518258082385783,0.006249220633610135,0.021201903912894234,0.01293249658392505
9am_1,9am,1,2752,4896,705,1686,2392,3072,3799,4531,1093,1241,1322,1346,897,100.31461262199437,237.09035851593504,229.1834362720704,207.79775522921642,183.16915704371542,0.048748897497617585,-0.038354037714867284,-0.032297798942855116,-0.01244130890168319,0.011972412504357807
9am_2,9am,2,2752,4896,655,1301,2306,2977,3746,4465,720,894,849,926,1106,219.52694407977586,179.61256648596245,228.72875432497568,213.97792936996103,186.76335296013096,-0.016665981637728616,0.008522480127811895,-0.02468213907217095,-0.01324037915870407,0.00901973233708051
9am_3,9am,3,2752,4896,1004,1649,2352,2963,3772,4531,742,842,1067,1043,923,286.96347849989115,222.700520796716,219.63089879531196,205.294097686184,183.8909831703032,-0.05473276252775158,-0.01694525207270139,-0.01303869599395407,0.002638666001311332,0.003586275675609235
9am_4,9am,4,2752,4896,915,1706,2403,3249,4075,4896,1072,1230,1436,1328,1443,216.4417430666803,193.42835641730252,204.33686041234571,190.0660614726188,264.01592273948376,-0.00930469240304186,0.00025853826104754225,-0.0081661861481336,0.006388035048327387,-0.04028374117913378
9am_5,9am,5,2752,4896,696,1566,2336,3131,3881,4896,1041,1181,1242,1327,1317,213.29218192843337,221.87378750392148,199.35130714806076,188.75514172866028,191.50932229328257,-0.0037078564300916258,-0.01526240825429189,0.00904943816967222,0.005574272555219389,0.005602614469321339
9am_6,9am,6,2752,4896,741,1517,2364,3169,4011,4896,1005,1051,1184,1186,1234,236.3620014711895,229.25799013039057,209.83320819586933,223.48580210920565,240.53926304140606,-0.024687787207176844,-0.026761112511794187,-0.00843648477008112,-0.012502362716273255,-0.0353847349489036
9am_7,9am,7,2752,4896,716,1596,2390,3137,4115,4896,994,1131,1166,1106,1109,183.70215252528672,191.92616239775032,203.06586066086226,182.9191146185988,221.69552916319654,0.023242824902326566,0.0021412516615137364,-0.0062483480631192745,0.002420998300453505,-0.02776939085255516
